INFO |void Server::listen(int)[Server.cpp:35] : Hello, World!

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 0 socket : 5

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 0 socket: 5 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 4 socket : 6

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 4 socket: 6 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 28 socket : 7

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 28 socket: 7 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 15 socket : 8

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 15 socket: 8 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 33 socket : 9

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 33 socket: 9 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 19 socket : 10

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 19 socket: 10 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 10 socket : 11

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 10 socket: 11 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 30 socket : 12

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 30 socket: 12 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 32 socket : 13

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 32 socket: 13 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 14 socket : 14

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 14 socket: 14 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 38 socket : 15

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 38 socket: 15 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 12 socket : 16

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 12 socket: 16 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 31 socket : 17

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 31 socket: 17 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 21 socket : 18

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 21 socket: 18 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 8 socket : 19

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 8 socket: 19 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 26 socket : 20

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 26 socket: 20 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 20 socket : 21

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 20 socket: 21 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 29 socket : 22

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 29 socket: 22 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 27 socket : 23

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 27 socket: 23 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 3 socket : 24

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 3 socket: 24 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 7 socket : 25

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 7 socket: 25 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 24 socket : 26

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 24 socket: 26 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 11 socket : 27

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 2 socket : 28

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 11 socket: 27 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 2 socket: 28 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 39 socket : 29

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 25 socket : 30

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 1 socket : 31

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 39 socket: 29 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 25 socket: 30 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 9 socket : 32

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 1 socket: 31 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 37 socket : 33

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 16 socket : 34

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 13 socket : 35

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 9 socket: 32 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 36 socket : 36

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 18 socket : 37

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 17 socket : 38

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 37 socket: 33 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 22 socket : 39

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 23 socket : 40

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 16 socket: 34 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 13 socket: 35 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 36 socket: 36 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 18 socket: 37 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 17 socket: 38 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 22 socket: 39 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 23 socket: 40 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 0 socket: 5 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 4 socket: 6 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 5 socket : 41

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 5 socket: 41 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 34 socket : 42

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 34 socket: 42 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 6 socket : 43

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 6 socket: 43 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:23] : SocketHandler id : 35 socket : 44

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 35 socket: 44 count : 1

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 28 socket: 7 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 15 socket: 8 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 33 socket: 9 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 19 socket: 10 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 10 socket: 11 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 30 socket: 12 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 0 socket: 5 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 4 socket: 6 count : 3

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 14 socket: 14 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 32 socket: 13 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 38 socket: 15 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 12 socket: 16 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 31 socket: 17 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 21 socket: 18 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 8 socket: 19 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 26 socket: 20 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 20 socket: 21 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 29 socket: 22 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 27 socket: 23 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 3 socket: 24 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 7 socket: 25 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 24 socket: 26 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 11 socket: 27 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 2 socket: 28 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 39 socket: 29 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 25 socket: 30 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 1 socket: 31 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 9 socket: 32 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 37 socket: 33 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 16 socket: 34 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 13 socket: 35 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 36 socket: 36 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 18 socket: 37 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 17 socket: 38 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 22 socket: 39 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 23 socket: 40 count : 2

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 0 socket: 5 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 4 socket: 6 count : 4

DEBUG|void SocketHandler::handle()[SocketHandler.cpp:28] : worker id : 28 socket: 7 count : 3

